session,articleId,presentationType,presentationDate,startTime,endTime,paperTitle,authors,institutions,keywords,abstract
Session 1,01,oral,2025-12-16,09:00,09:18,Understanding Consumer Complaint Dynamics in the Electronic Vehicle Market: A Text-Mining Approach.,Elena Kim; Jaewon Choi,,,
Session 1,02,oral,2025-12-16,09:18,09:36,Human-Centered E-Business Systems based on Situation Awareness: a contextual framework driven by Artificial Intelligence.,Francesco Colace; Muhammad Khan; Angelo Lorusso; Domenico Santaniello; Allan Tucker,,,
Session 1,03,oral,2025-12-16,09:36,09:54,Optimizing YOLO for Accurate Car Parts Segmentation in Automotive Industry Applications.,Fx Hendra Prasetya; Kung-Ming Lan; Kun-Lin Tsai; Chao-Tung Yang,,,
Session 1,04,oral,2025-12-16,09:54,10:12,Enhancing Explainable Artificial Intelligence in Healthcare through Blockchain-Enabled Immutable Federated Machine Learning.,Muammar Shahrear Famous; Samia Sayed; Rashed Mazumder; Risala T. Khan; M. Shamim Kaiser; Mohammad Shahadat Hossain; Karl Andersson; Mufti Mahmud,,,
Session 1,05,oral,2025-12-16,10:12,10:30,Data-Driven Innovation in Cybersecurity for E-Business Information Systems: A Case Study on CVE Report Generation via LLM.,Arcangelo Castiglione; Francesco Colace; Marco Fusco; Antonio Oricchio; Domenico Santaniello; Carmine Valentino,,,
Session 2,06,oral,2025-12-16,10:45,11:03,Exploring the Role of Digital Management Capability in Shaping Ethical Leadership and its Impact on ESG: A Dynamic Capabilities Micro-Foundations Perspective.,Ka Wai Chung; Kam Pui Liu; William Yeoh,,,
Session 2,07,oral,2025-12-16,11:03,11:21,Resolving Ambiguity in Pointing Gestures using Contextual Reasoning from Large Language Models.,Sumin Yeon; Minjae Lee; Jiho Bae; Sejik Park; Illhwan Ha; Suwon Lee,,,
Session 2,08,oral,2025-12-16,11:21,11:39,A Preliminary Study of Retrieval-Augmented Generation for Sensitive Web Path Discovery in Web-based Information Systems.,Kinsey K.S. Ng; Farah Yan; Kevin Hung,,,
Session 3,09,oral,2025-12-16,16:30,16:48,Cost-Aligned AI for Fraud Detection: Federated Learning and Threshold Mapping under Non-IID Data.,Kun-Lin Tsai; Chui-Wei Chua; Fang-Yie Leu; Chao-Tung Yang,,,
Session 3,10,oral,2025-12-16,16:48,17:06,Survey on Electric Vehicle Charging Stations System and Security Perspectives.,Seungbin Lee; Soowang Lee; Joohyeon Lee; Kyeong A Kang; Jiyoon Kim,,,
Session 3,11,oral,2025-12-16,17:06,17:24,Toward a Zero-Trust Architecture for 6G-Enabled E-Business Ecosystem.,Hoseok Kwon; Bonam Kim; Ilsun You,,,
Session 3,12,oral,2025-12-16,17:24,17:42,Beyond RSRP: UE-Side Detection of Multi-Stage Fake Base Station Attacks through NAS/RRC Layer in 5G Networks.,Chaeyeon You; Vincent Abella; Hoseok Kwon; I Wayan Adi Juliawan Pawana; Bonam Kim; Ilsun You,,,
Session 3,13,oral,2025-12-16,17:42,18:00,A Tool for Learning About Outdated Software Vulnerabilities and End-of-Life.,Md Amiruzzaman; Linh Ngo; Ashik Ahmed Bhuiyan,,,
Session 6,14,oral,2025-12-17,15:00,15:18,ShockShot: Enhancing Gunfire Immersion with Real-Time Sensory Feedback.,S Boyou; Choji; Ungsik Kum; Sumin Yeon; Wonchan Choi; Sang-Min Choi; Suwon Lee,,,
Session 6,15,oral,2025-12-17,15:18,15:36,ARCinema: Enhancing Cinematic Memories and Emotions Through Augmented Reality with Miniature Dioramas.,Wonchan Choi; Eojin Ryu; Minjae Lee; Suwon Lee,,,
Session 6,16,oral,2025-12-17,15:36,15:54,Introducing JavaScript Mining as a Method of Payment and its Hidden Cost.,Fajar Purwana; Adi Juliavan Pawana; Addi Panca Saputra Iskandar,,,
Session 6,17,oral,2025-12-17,15:54,16:12,Voices in Motion: Sentiment Intensity and Thematic Evolution Across Game Release Stages.,Elena Kim; Jaewon Choi,,,
Session 7,18,oral,2025-12-18,09:00,09:18,Foundations for Explainable Fraud Detection in Emerging eSIM and Mobile Payment Ecosystems,Jhury Kevin Lastre; Vincent Abella; Bonam Kim; Ilsun You,,,
Session 7,19,oral,2025-12-18,09:18,09:36,Do Reviews Help with Cold-Start in Sequential Recommender Systems?,Min-Gyu Jang; Sang-Min Choi,,,
Session 7,20,oral,2025-12-18,09:36,09:54,"Selective Sequence Sampling via (m, k)-Firm Policy for Sequential Recommendation.",Hye-Jin Jeong; Sang-Min Choi,,,
Session 7,21,oral,2025-12-18,09:54,10:12,A Framework based on Recommender Systems as Enabler of Cultural Heritage E-Business.,Mario Casillo; Arcangelo Castiglione; Mario Molinara; Pietro Giuseppe Sormani; Carmine Valentino,,,
Session 7,22,oral,2025-12-18,10:12,10:30,Knowledge-driven E-Business in cultural heritage: a framework for design and evaluation.,Angelo Lorusso; Federico Marsulcello; Henry Muccini; Gustavo Cirrotti; Alfredo Troiano,,,
Session 7,23,oral,2025-12-18,10:30,10:48,"Ontology-Grounded Fact-Checking for E-Commerce: A Neuro-Symbolic, Claim-Centric Approach.",Mario Casillo; Liliana Ceccare; Angelo Gaeta; Marco Lombardi; Angelo Lorusso; Giusy Strollo,,,
Session 8,24,oral,2025-12-18,11:00,11:18,Optimization of Energy Consumption in Battery-Operated Real-Time Systems.,Swathi Konduru; Ashik Ahmed Bhuiyan; Md Amiruzzaman,,,
Session 8,25,oral,2025-12-18,11:18,11:36,Security and Privacy in Wi-Fi Networks: From Legacy Protocols to Next-Gen Defenses.,Aditya Jha; Hariharasitaraman S.; Radheshyam Singh; Gaurav Choudhary; Nicola Dragoni,,,
Session 8,26,oral,2025-12-18,11:36,11:54,A Context-Aware Framework for Adaptive Service Orchestration in Digital Tourism Ecosystems,Mario Casillo; Muhammad Khan; Marco Lombardi; Marco Fusco; Angelo Lorusso; Domenico Santaniello; Pietro Giuseppe Sormani,,,
